WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2077,711_7MX_M,  Thu Jun 27 19:23:42 CDT 2019,  Thu Jun 27 19:26:19 CDT 2019,00:02:37,2,157,0,0,0,0,0
2079,711_7MX_M,  Thu Jul 11 14:59:19 CDT 2019,  Thu Jul 11 15:02:40 CDT 2019,00:03:21,3,201,0,0,0,0,0
2033,ABBWS_M, Tue Aug 21 13:03:12 CDT 2018, Tue Aug 21 13:11:16 CDT 2018,00:08:04,8,484,0,0,0,0,0
2034,ABBWS_M, Fri Aug 31 20:03:30 CDT 2018, Fri Aug 31 20:11:05 CDT 2018,00:07:35,7,455,0,0,0,0,0
2035,ABBWS_M, Wed Sep  5 11:15:52 CDT 2018, Wed Sep  5 11:23:54 CDT 2018,00:08:02,8,482,0,0,0,0,0
2036,ABBWS_M, Wed Sep 12 19:27:01 CDT 2018, Wed Sep 12 19:50:54 CDT 2018,00:23:53,23,1433,0,0,0,0,0
2037,ABBWS_M, Thu Sep 20 12:42:12 CDT 2018, Thu Sep 20 12:51:42 CDT 2018,00:09:30,9,570,0,0,0,0,0
2038,ABBWS_M, Mon Sep 24 14:01:27 CDT 2018, Mon Sep 24 14:12:51 CDT 2018,00:11:24,11,684,0,0,0,0,0
2039,ABBWS_M, Wed Oct  3 04:44:11 CDT 2018, Wed Oct  3 04:58:43 CDT 2018,00:14:32,14,872,0,0,0,0,0
2040,ABBWS_M, Mon Oct  8 22:07:42 CDT 2018, Mon Oct  8 22:23:47 CDT 2018,00:16:05,16,965,0,0,0,0,0
2041,ABBWS_M, Mon Oct 15 20:24:14 CDT 2018, Mon Oct 15 20:37:50 CDT 2018,00:13:36,13,816,0,0,0,0,0
2042,ABBWS_M, Tue Oct 23 01:48:48 CDT 2018, Tue Oct 23 02:00:29 CDT 2018,00:11:41,11,701,0,0,0,0,0
2043,ABBWS_M, Tue Oct 30 21:06:23 CDT 2018, Tue Oct 30 21:18:09 CDT 2018,00:11:46,11,706,0,0,0,0,0
2044,ABBWS_M, Tue Nov  6 16:06:01 CST 2018, Tue Nov  6 16:27:12 CST 2018,00:21:11,21,1271,0,0,0,0,0
2045,ABBWS_M, Tue Nov 13 09:21:59 CST 2018, Tue Nov 13 09:36:49 CST 2018,00:14:50,14,890,0,0,0,0,0
2046,ABBWS_M,  Tue Nov 20 01:17:13 CST 2018,  Tue Nov 20 01:32:33 CST 2018,00:15:20,15,920,0,0,0,0,0
2047,ABBWS_M,  Tue Nov 27 07:57:11 CST 2018,  Tue Nov 27 08:08:10 CST 2018,00:10:59,10,659,0,0,0,0,0
2048,ABBWS_M,  Tue Dec  4 11:41:18 CST 2018,  Tue Dec  4 12:12:23 CST 2018,00:31:05,31,1865,0,0,0,0,0
2049,ABBWS_M,  Tue Dec 11 05:56:51 CST 2018,  Tue Dec 11 06:04:55 CST 2018,00:08:04,8,484,0,0,0,0,0
2050,ABBWS_M,  Mon Dec 17 14:49:43 CST 2018,  Mon Dec 17 14:57:39 CST 2018,00:07:56,7,476,0,0,0,0,0
2051,ABBWS_M,  Mon Dec 24 18:12:23 CST 2018,  Mon Dec 24 18:19:30 CST 2018,00:07:07,7,427,0,0,0,0,0
2052,ABBWS_M,  Mon Dec 31 15:41:07 CST 2018,  Mon Dec 31 15:52:30 CST 2018,00:11:23,11,683,0,0,0,0,0
2053,ABBWS_M,  Tue Jan  8 04:40:25 CST 2019,  Tue Jan  8 04:49:41 CST 2019,00:09:16,9,556,0,0,0,0,0
2054,ABBWS_M,  Tue Jan 15 00:34:20 CST 2019,  Tue Jan 15 00:43:03 CST 2019,00:08:43,8,523,0,0,0,0,0
2055,ABBWS_M,  Mon Jan 21 07:56:46 CST 2019,  Mon Jan 21 08:13:31 CST 2019,00:16:45,16,1005,0,0,0,0,0
2056,ABBWS_M,  Mon Jan 28 06:10:41 CST 2019,  Mon Jan 28 06:23:55 CST 2019,00:13:14,13,794,0,0,0,0,0
2057,ABBWS_M,  Mon Feb  4 09:02:59 CST 2019,  Mon Feb  4 09:09:06 CST 2019,00:06:07,6,367,0,0,0,0,0
2058,ABBWS_M,  Mon Feb 11 07:13:50 CST 2019,  Mon Feb 11 07:20:57 CST 2019,00:07:07,7,427,0,0,0,0,0
2059,ABBWS_M,  Mon Feb 18 05:45:48 CST 2019,  Mon Feb 18 05:51:20 CST 2019,00:05:32,5,332,0,0,0,0,0
2060,ABBWS_M,  Mon Feb 25 08:36:09 CST 2019,  Mon Feb 25 08:42:27 CST 2019,00:06:18,6,378,0,0,0,0,0
2061,ABBWS_M,  Mon Mar  4 04:46:04 CST 2019,  Mon Mar  4 04:50:54 CST 2019,00:04:50,4,290,0,0,0,0,0
2062,ABBWS_M,  Mon Mar 11 10:37:36 CDT 2019,  Mon Mar 11 10:43:48 CDT 2019,00:06:12,6,372,0,0,0,0,0
2063,ABBWS_M,  Mon Mar 18 04:33:31 CDT 2019,  Mon Mar 18 04:39:01 CDT 2019,00:05:30,5,330,0,0,0,0,0
2064,ABBWS_M,  Mon Mar 25 04:55:44 CDT 2019,  Mon Mar 25 05:02:31 CDT 2019,00:06:47,6,407,0,0,0,0,0
2065,ABBWS_M,  Mon Apr  1 08:09:46 CDT 2019,  Mon Apr  1 08:15:13 CDT 2019,00:05:27,5,327,0,0,0,0,0
2066,ABBWS_M,  Mon Apr  8 07:29:04 CDT 2019,  Mon Apr  8 07:35:17 CDT 2019,00:06:13,6,373,0,0,0,0,0
2067,ABBWS_M,  Mon Apr 15 06:50:29 CDT 2019,  Mon Apr 15 06:56:03 CDT 2019,00:05:34,5,334,0,0,0,0,0
2068,ABBWS_M,  Mon Apr 22 13:31:27 CDT 2019,  Mon Apr 22 13:37:43 CDT 2019,00:06:16,6,376,0,0,0,0,0
2069,ABBWS_M,  Mon Apr 29 09:35:45 CDT 2019,  Mon Apr 29 09:41:06 CDT 2019,00:05:21,5,321,0,0,0,0,0
2070,ABBWS_M,  Mon May  6 06:37:42 CDT 2019,  Mon May  6 06:43:43 CDT 2019,00:06:01,6,361,0,0,0,0,0
2071,ABBWS_M,  Mon May 13 08:47:49 CDT 2019,  Mon May 13 08:51:57 CDT 2019,00:04:08,4,248,0,0,0,0,0
2072,ABBWS_M,  Mon May 20 07:04:51 CDT 2019,  Mon May 20 07:10:19 CDT 2019,00:05:28,5,328,0,0,0,0,0
2073,ABBWS_M,  Mon May 27 08:13:01 CDT 2019,  Mon May 27 08:15:57 CDT 2019,00:02:56,2,176,0,0,0,0,0
2074,ABBWS_M,  Mon Jun  3 05:11:52 CDT 2019,  Mon Jun  3 05:15:56 CDT 2019,00:04:04,4,244,0,0,0,0,0
2075,ABBWS_M,  Mon Jun 10 03:46:26 CDT 2019,  Mon Jun 10 03:49:48 CDT 2019,00:03:22,3,202,0,0,0,0,0
2076,ABBWS_M,  Mon Jun 17 02:50:47 CDT 2019,  Mon Jun 17 02:56:19 CDT 2019,00:05:32,5,332,0,0,0,0,0
2077,ABBWS_M,  Mon Jun 24 01:46:13 CDT 2019,  Mon Jun 24 01:49:17 CDT 2019,00:03:04,3,184,0,0,0,0,0
2078,ABBWS_M,  Mon Jul  1 06:39:58 CDT 2019,  Mon Jul  1 06:42:53 CDT 2019,00:02:55,2,175,0,0,0,0,0
2079,ABBWS_M,  Mon Jul  8 05:48:55 CDT 2019,  Mon Jul  8 05:53:39 CDT 2019,00:04:44,4,284,0,0,0,0,0
2080,ABBWS_M,  Mon Jul 15 02:06:38 CDT 2019,  Mon Jul 15 02:12:22 CDT 2019,00:05:44,5,344,0,0,0,0,0
2081,ABBWS_M,  Mon Jul 22 01:24:46 CDT 2019,  Mon Jul 22 01:29:43 CDT 2019,00:04:57,4,297,0,0,0,0,0
2082,ABBWS_M,  Mon Jul 29 05:01:28 CDT 2019,  Mon Jul 29 05:06:28 CDT 2019,00:05:00,5,300,0,0,0,0,0
2083,ABBWS_M,  Mon Aug  5 02:22:10 CDT 2019,  Mon Aug  5 02:28:41 CDT 2019,00:06:31,6,391,0,0,0,0,0
2084,ABBWS_M,  Mon Aug 12 04:28:51 CDT 2019,  Mon Aug 12 04:34:47 CDT 2019,00:05:56,5,356,0,0,0,0,0
2085,ABBWS_M,  Tue Aug 20 15:17:08 CDT 2019,  Tue Aug 20 15:21:36 CDT 2019,00:04:28,4,268,0,0,0,0,0
2086,ABBWS_M,  Mon Aug 26 01:37:53 CDT 2019,  Mon Aug 26 01:44:57 CDT 2019,00:07:04,7,424,0,0,0,0,0
2087,ABBWS_M,  Mon Sep  2 04:22:16 CDT 2019,  Mon Sep  2 04:31:50 CDT 2019,00:09:34,9,574,0,0,0,0,0
2088,ABBWS_M,  Mon Sep  9 06:12:04 CDT 2019,  Mon Sep  9 06:18:08 CDT 2019,00:06:04,6,364,0,0,0,0,0
2089,ABBWS_M,  Mon Sep 16 02:47:07 CDT 2019,  Mon Sep 16 02:54:10 CDT 2019,00:07:03,7,423,0,0,0,0,0
2090,ABBWS_M,  Mon Sep 23 04:48:07 CDT 2019,  Mon Sep 23 04:53:22 CDT 2019,00:05:15,5,315,0,0,0,0,0
2091,ABBWS_M,  Mon Sep 30 01:40:32 CDT 2019,  Mon Sep 30 01:43:33 CDT 2019,00:03:01,3,181,0,0,0,0,0
2092,ABBWS_M,  Mon Oct  7 02:31:41 CDT 2019,  Mon Oct  7 02:36:49 CDT 2019,00:05:08,5,308,158,2,8,50,218
2093,ABBWS_M,  Mon Oct 14 02:29:45 CDT 2019,  Mon Oct 14 02:36:19 CDT 2019,00:06:34,6,394,124,2,8,40,174
2094,ABBWS_M,  Mon Oct 21 01:47:21 CDT 2019,  Mon Oct 21 01:50:23 CDT 2019,00:03:02,3,182,126,2,8,42,178
2095,ABBWS_M,  Mon Oct 28 01:21:38 CDT 2019,  Mon Oct 28 01:26:10 CDT 2019,00:04:32,4,272,126,2,8,42,178
2096,ABBWS_M,  Mon Nov  4 03:50:21 CST 2019,  Mon Nov  4 03:54:27 CST 2019,00:04:06,4,246,162,2,8,53,225
2097,ABBWS_M,  Mon Nov 11 01:37:02 CST 2019,  Mon Nov 11 01:40:19 CST 2019,00:03:17,3,197,128,2,8,43,181
2098,ABBWS_M,  Mon Nov 18 01:26:18 CST 2019,  Mon Nov 18 01:30:22 CST 2019,00:04:04,4,244,130,2,8,43,183
2099,ABBWS_M,  Mon Nov 25 01:26:43 CST 2019,  Mon Nov 25 01:30:23 CST 2019,00:03:40,3,220,130,2,8,43,183
2100,ABBWS_M,  Mon Dec  2 01:23:29 CST 2019,  Mon Dec  2 01:28:10 CST 2019,00:04:41,4,281,164,2,8,53,227
2101,ABBWS_M,  Mon Dec  9 01:27:54 CST 2019,  Mon Dec  9 01:31:32 CST 2019,00:03:38,3,218,130,2,8,43,183
2102,ABBWS_M,  Mon Dec 16 02:10:12 CST 2019,  Mon Dec 16 02:14:11 CST 2019,00:03:59,3,239,130,2,8,43,183
2103,ABBWS_M,  Mon Dec 23 01:33:34 CST 2019,  Mon Dec 23 01:37:24 CST 2019,00:03:50,3,230,130,2,8,43,183
2104,ABBWS_M,  Mon Dec 30 01:54:12 CST 2019,  Mon Dec 30 01:59:38 CST 2019,00:05:26,5,326,164,2,8,53,227
2105,ABBWS_M,  Mon Jan  6 01:50:45 CST 2020,  Mon Jan  6 01:54:14 CST 2020,00:03:29,3,209,130,2,8,43,183
2106,ABBWS_M,  Mon Jan 13 01:23:40 CST 2020,  Mon Jan 13 01:27:15 CST 2020,00:03:35,3,215,130,2,8,43,183
1940,ABBWS_V18, Fri Nov 11 04:53:22 CST 2016, Fri Nov 11 04:57:21 CST 2016,00:03:59,3,239,0,0,0,0,0
1941,ABBWS_V18, Fri Nov 18 03:55:26 CST 2016, Fri Nov 18 03:59:38 CST 2016,00:04:12,4,252,0,0,0,0,0
1942,ABBWS_V18, Thu Nov 24 23:30:23 CST 2016, Thu Nov 24 23:32:40 CST 2016,00:02:17,2,137,0,0,0,0,0
1943,ABBWS_V18, Thu Dec  1 06:07:28 CST 2016, Thu Dec  1 06:18:26 CST 2016,00:10:58,10,658,0,0,0,0,0
1944,ABBWS_V18, Thu Dec  8 16:52:51 CST 2016, Thu Dec  8 16:57:20 CST 2016,00:04:29,4,269,0,0,0,0,0
1945,ABBWS_V18, Fri Dec 16 05:27:54 CST 2016, Fri Dec 16 05:31:36 CST 2016,00:03:42,3,222,0,0,0,0,0
1946,ABBWS_V18, Fri Dec 23 10:44:25 CST 2016, Fri Dec 23 10:48:19 CST 2016,00:03:54,3,234,0,0,0,0,0
1947,ABBWS_V18, Tue Dec 27 06:10:46 CST 2016, Tue Dec 27 06:24:13 CST 2016,00:13:27,13,807,0,0,0,0,0
2000,ABBWS_V18, Mon Jan  1 10:47:33 CST 2018, Mon Jan  1 10:53:34 CST 2018,00:06:01,6,361,0,0,0,0,0
2001,ABBWS_V18, Thu Jan 11 07:24:46 CST 2018, Thu Jan 11 07:35:38 CST 2018,00:10:52,10,652,0,0,0,0,0
2002,ABBWS_V18, Tue Jan 16 02:54:05 CST 2018, Tue Jan 16 02:59:37 CST 2018,00:05:32,5,332,0,0,0,0,0
2003,ABBWS_V18, Tue Jan 23 20:58:28 CST 2018, Tue Jan 23 21:06:53 CST 2018,00:08:25,8,505,0,0,0,0,0
2004,ABBWS_V18, Tue Jan 30 18:57:23 CST 2018, Tue Jan 30 19:06:40 CST 2018,00:09:17,9,557,0,0,0,0,0
2005,ABBWS_V18, Tue Feb  6 00:50:13 CST 2018, Tue Feb  6 00:57:53 CST 2018,00:07:40,7,460,0,0,0,0,0
2006,ABBWS_V18, Tue Feb 13 16:40:42 CST 2018, Tue Feb 13 16:48:02 CST 2018,00:07:20,7,440,0,0,0,0,0
2006,ABBWS_V18, Wed Feb 14 05:22:26 CST 2018, Wed Feb 14 05:30:36 CST 2018,00:08:10,8,490,0,0,0,0,0
2007,ABBWS_V18, Tue Feb 20 13:36:46 CST 2018, Tue Feb 20 13:44:59 CST 2018,00:08:13,8,493,0,0,0,0,0
2008,ABBWS_V18, Wed Feb 28 09:57:38 CST 2018, Wed Feb 28 10:14:15 CST 2018,00:16:37,16,997,0,0,0,0,0
2009,ABBWS_V18, Tue Mar  6 06:32:05 CST 2018, Tue Mar  6 06:38:48 CST 2018,00:06:43,6,403,0,0,0,0,0
2010,ABBWS_V18, Tue Mar 13 02:54:01 CDT 2018, Tue Mar 13 03:00:14 CDT 2018,00:06:13,6,373,0,0,0,0,0
2011,ABBWS_V18, Tue Mar 20 17:07:38 CDT 2018, Tue Mar 20 17:14:34 CDT 2018,00:06:56,6,416,0,0,0,0,0
2012,ABBWS_V18, Tue Mar 27 04:15:39 CDT 2018, Tue Mar 27 04:25:12 CDT 2018,00:09:33,9,573,0,0,0,0,0
2013,ABBWS_V18, Tue Apr  3 00:17:12 CDT 2018, Tue Apr  3 00:26:52 CDT 2018,00:09:40,9,580,0,0,0,0,0
2014,ABBWS_V18, Tue Apr 10 00:12:36 CDT 2018, Tue Apr 10 00:25:17 CDT 2018,00:12:41,12,761,0,0,0,0,0
2015,ABBWS_V18, Tue Apr 17 02:43:51 CDT 2018, Tue Apr 17 02:51:07 CDT 2018,00:07:16,7,436,0,0,0,0,0
2016,ABBWS_V18, Tue Apr 24 19:45:45 CDT 2018, Tue Apr 24 20:04:11 CDT 2018,00:18:26,18,1106,0,0,0,0,0
2017,ABBWS_V18, Tue May  1 04:16:03 CDT 2018, Tue May  1 04:26:36 CDT 2018,00:10:33,10,633,0,0,0,0,0
2018,ABBWS_V18, Wed May  9 10:42:58 CDT 2018, Wed May  9 10:52:26 CDT 2018,00:09:28,9,568,0,0,0,0,0
2019,ABBWS_V18, Thu May 17 07:57:39 CDT 2018, Thu May 17 08:05:54 CDT 2018,00:08:15,8,495,0,0,0,0,0
2020,ABBWS_V18, Wed May 23 07:56:55 CDT 2018, Wed May 23 08:10:35 CDT 2018,00:13:40,13,820,0,0,0,0,0
2021,ABBWS_V18, Thu May 31 01:59:31 CDT 2018, Thu May 31 02:12:42 CDT 2018,00:13:11,13,791,0,0,0,0,0
2022,ABBWS_V18, Wed Jun  6 09:35:38 CDT 2018, Wed Jun  6 09:44:32 CDT 2018,00:08:54,8,534,0,0,0,0,0
2023,ABBWS_V18, Wed Jun 13 04:36:53 CDT 2018, Wed Jun 13 04:45:10 CDT 2018,00:08:17,8,497,0,0,0,0,0
2024,ABBWS_V18, Tue Jun 19 17:38:20 CDT 2018, Tue Jun 19 17:57:07 CDT 2018,00:18:47,18,1127,0,0,0,0,0
2025,ABBWS_V18, Wed Jun 27 09:14:08 CDT 2018, Wed Jun 27 09:25:28 CDT 2018,00:11:20,11,680,0,0,0,0,0
2026,ABBWS_V18, Wed Jul  4 11:21:23 CDT 2018, Wed Jul  4 11:32:17 CDT 2018,00:10:54,10,654,0,0,0,0,0
2027,ABBWS_V18, Wed Jul 11 02:08:06 CDT 2018, Wed Jul 11 02:18:28 CDT 2018,00:10:22,10,622,0,0,0,0,0
2028,ABBWS_V18, Tue Jul 17 05:55:55 CDT 2018, Tue Jul 17 06:07:28 CDT 2018,00:11:33,11,693,0,0,0,0,0
2029,ABBWS_V18, Wed Jul 25 12:47:49 CDT 2018, Wed Jul 25 12:57:05 CDT 2018,00:09:16,9,556,0,0,0,0,0
2030,ABBWS_V18, Tue Jul 31 23:09:56 CDT 2018, Tue Jul 31 23:20:13 CDT 2018,00:10:17,10,617,0,0,0,0,0
2031,ABBWS_V18, Wed Aug  8 07:02:22 CDT 2018, Wed Aug  8 07:11:58 CDT 2018,00:09:36,9,576,0,0,0,0,0
2032,ABBWS_V18, Tue Aug 14 13:07:31 CDT 2018, Tue Aug 14 13:24:58 CDT 2018,00:17:27,17,1047,0,0,0,0,0
2033,ABBWS_V18, Tue Aug 21 15:15:19 CDT 2018, Tue Aug 21 15:21:42 CDT 2018,00:06:23,6,383,0,0,0,0,0
2034,ABBWS_V18, Fri Aug 31 20:13:55 CDT 2018, Fri Aug 31 20:19:00 CDT 2018,00:05:05,5,305,0,0,0,0,0
2035,ABBWS_V18, Wed Sep  5 12:36:06 CDT 2018, Wed Sep  5 12:41:09 CDT 2018,00:05:03,5,303,0,0,0,0,0
2036,ABBWS_V18, Thu Sep 13 10:30:27 CDT 2018, Thu Sep 13 10:42:51 CDT 2018,00:12:24,12,744,0,0,0,0,0
2037,ABBWS_V18, Thu Sep 20 04:11:47 CDT 2018, Thu Sep 20 04:17:53 CDT 2018,00:06:06,6,366,0,0,0,0,0
2039,ABBWS_V18, Wed Oct  3 14:39:30 CDT 2018, Wed Oct  3 14:44:12 CDT 2018,00:04:42,4,282,0,0,0,0,0
2040,ABBWS_V18, Mon Oct  8 23:39:19 CDT 2018, Mon Oct  8 23:48:10 CDT 2018,00:08:51,8,531,0,0,0,0,0
2025,ALBRTSNS, Tue Jun 26 22:53:40 CDT 2018, Tue Jun 26 23:08:00 CDT 2018,00:14:20,14,860,0,0,0,0,0
2027,ALBRTSNS, Mon Jul  9 15:09:24 CDT 2018, Mon Jul  9 15:17:27 CDT 2018,00:08:03,8,483,0,0,0,0,0
2028,ALBRTSNS, Fri Jul 20 23:21:47 CDT 2018, Fri Jul 20 23:29:42 CDT 2018,00:07:55,7,475,0,0,0,0,0
2029,ALBRTSNS, Tue Jul 24 19:17:10 CDT 2018, Tue Jul 24 19:25:15 CDT 2018,00:08:05,8,485,0,0,0,0,0
2030,ALBRTSNS, Tue Jul 31 06:55:43 CDT 2018, Tue Jul 31 07:07:39 CDT 2018,00:11:56,11,716,0,0,0,0,0
2031,ALBRTSNS_M, Tue Aug  7 17:17:38 CDT 2018, Tue Aug  7 17:33:01 CDT 2018,00:15:23,15,923,0,0,0,0,0
2032,ALBRTSNS_M, Mon Aug 13 19:16:53 CDT 2018, Mon Aug 13 19:28:15 CDT 2018,00:11:22,11,682,0,0,0,0,0
2033,ALBRTSNS_M, Tue Aug 21 15:21:43 CDT 2018, Tue Aug 21 15:31:06 CDT 2018,00:09:23,9,563,0,0,0,0,0
2034,ALBRTSNS_M, Wed Aug 29 13:37:03 CDT 2018, Wed Aug 29 13:46:11 CDT 2018,00:09:08,9,548,0,0,0,0,0
2035,ALBRTSNS_M, Wed Sep  5 22:19:43 CDT 2018, Wed Sep  5 22:36:05 CDT 2018,00:16:22,16,982,0,0,0,0,0
2036,ALBRTSNS_M, Wed Sep 12 00:36:26 CDT 2018, Wed Sep 12 01:04:37 CDT 2018,00:28:11,28,1691,0,0,0,0,0
2037,ALBRTSNS_M, Tue Sep 18 20:58:40 CDT 2018, Tue Sep 18 21:15:41 CDT 2018,00:17:01,17,1021,0,0,0,0,0
2038,ALBRTSNS_M, Mon Sep 24 14:03:51 CDT 2018, Mon Sep 24 14:28:17 CDT 2018,00:24:26,24,1466,0,0,0,0,0
2039,ALBRTSNS_M, Wed Oct  3 00:28:40 CDT 2018, Wed Oct  3 00:55:07 CDT 2018,00:26:27,26,1587,0,0,0,0,0
2040,ALBRTSNS_M, Mon Oct  8 18:01:00 CDT 2018, Mon Oct  8 18:54:01 CDT 2018,00:53:01,53,3181,0,0,0,0,0
2041,ALBRTSNS_M, Mon Oct 15 13:10:48 CDT 2018, Mon Oct 15 13:46:56 CDT 2018,00:36:08,36,2168,0,0,0,0,0
2042,ALBRTSNS_M, Tue Oct 23 11:02:12 CDT 2018, Tue Oct 23 11:29:54 CDT 2018,00:27:42,27,1662,0,0,0,0,0
2043,ALBRTSNS_M, Tue Oct 30 20:14:33 CDT 2018, Tue Oct 30 20:42:17 CDT 2018,00:27:44,27,1664,0,0,0,0,0
2044,ALBRTSNS_M, Tue Nov  6 16:06:15 CST 2018, Tue Nov  6 16:54:42 CST 2018,00:48:27,48,2907,0,0,0,0,0
2045,ALBRTSNS_M, Tue Nov 13 09:17:36 CST 2018, Tue Nov 13 09:49:10 CST 2018,00:31:34,31,1894,0,0,0,0,0
2046,ALBRTSNS_M,  Mon Nov 19 23:44:05 CST 2018,  Tue Nov 20 00:16:46 CST 2018,00:32:41,32,1961,0,0,0,0,0
2047,ALBRTSNS_M,  Tue Nov 27 07:57:19 CST 2018,  Tue Nov 27 08:21:48 CST 2018,00:24:29,24,1469,0,0,0,0,0
2048,ALBRTSNS_M,  Tue Dec  4 11:41:29 CST 2018,  Tue Dec  4 12:43:37 CST 2018,01:02:08,62,3728,0,0,0,0,0
2049,ALBRTSNS_M,  Tue Dec 11 05:57:02 CST 2018,  Tue Dec 11 06:12:15 CST 2018,00:15:13,15,913,0,0,0,0,0
2050,ALBRTSNS_M,  Mon Dec 17 14:38:15 CST 2018,  Mon Dec 17 14:54:07 CST 2018,00:15:52,15,952,0,0,0,0,0
2051,ALBRTSNS_M,  Mon Dec 24 18:12:34 CST 2018,  Mon Dec 24 18:27:15 CST 2018,00:14:41,14,881,0,0,0,0,0
2052,ALBRTSNS_M,  Mon Dec 31 15:40:10 CST 2018,  Mon Dec 31 15:58:51 CST 2018,00:18:41,18,1121,0,0,0,0,0
2053,ALBRTSNS_M,  Tue Jan  8 04:44:20 CST 2019,  Tue Jan  8 05:01:36 CST 2019,00:17:16,17,1036,0,0,0,0,0
2054,ALBRTSNS_M,  Tue Jan 15 00:34:32 CST 2019,  Tue Jan 15 00:50:52 CST 2019,00:16:20,16,980,0,0,0,0,0
2055,ALBRTSNS_M,  Mon Jan 21 07:18:51 CST 2019,  Mon Jan 21 07:35:57 CST 2019,00:17:06,17,1026,0,0,0,0,0
2056,ALBRTSNS_M,  Mon Jan 28 06:09:32 CST 2019,  Mon Jan 28 06:31:37 CST 2019,00:22:05,22,1325,0,0,0,0,0
2057,ALBRTSNS_M,  Mon Feb  4 09:02:59 CST 2019,  Mon Feb  4 09:12:36 CST 2019,00:09:37,9,577,0,0,0,0,0
2058,ALBRTSNS_M,  Mon Feb 11 07:14:04 CST 2019,  Mon Feb 11 07:25:08 CST 2019,00:11:04,11,664,0,0,0,0,0
2059,ALBRTSNS_M,  Mon Feb 18 05:45:53 CST 2019,  Mon Feb 18 05:54:40 CST 2019,00:08:47,8,527,0,0,0,0,0
2060,ALBRTSNS_M,  Mon Feb 25 08:42:28 CST 2019,  Mon Feb 25 08:52:15 CST 2019,00:09:47,9,587,0,0,0,0,0
2061,ALBRTSNS_M,  Mon Mar  4 04:50:20 CST 2019,  Mon Mar  4 04:58:10 CST 2019,00:07:50,7,470,0,0,0,0,0
2062,ALBRTSNS_M,  Mon Mar 11 10:37:43 CDT 2019,  Mon Mar 11 10:47:09 CDT 2019,00:09:26,9,566,0,0,0,0,0
2063,ALBRTSNS_M,  Mon Mar 18 04:37:59 CDT 2019,  Mon Mar 18 04:46:07 CDT 2019,00:08:08,8,488,0,0,0,0,0
2064,ALBRTSNS_M,  Mon Mar 25 05:01:07 CDT 2019,  Mon Mar 25 05:14:33 CDT 2019,00:13:26,13,806,0,0,0,0,0
2065,ALBRTSNS_M,  Mon Apr  1 08:10:57 CDT 2019,  Mon Apr  1 08:18:57 CDT 2019,00:08:00,8,480,0,0,0,0,0
2066,ALBRTSNS_M,  Mon Apr  8 07:30:07 CDT 2019,  Mon Apr  8 07:39:24 CDT 2019,00:09:17,9,557,0,0,0,0,0
2067,ALBRTSNS_M,  Mon Apr 15 06:51:10 CDT 2019,  Mon Apr 15 06:59:19 CDT 2019,00:08:09,8,489,0,0,0,0,0
2068,ALBRTSNS_M,  Mon Apr 22 18:48:58 CDT 2019,  Mon Apr 22 18:57:44 CDT 2019,00:08:46,8,526,0,0,0,0,0
2069,ALBRTSNS_M,  Mon Apr 29 09:38:03 CDT 2019,  Mon Apr 29 09:45:13 CDT 2019,00:07:10,7,430,0,0,0,0,0
2070,ALBRTSNS_M,  Mon May  6 06:37:48 CDT 2019,  Mon May  6 06:45:13 CDT 2019,00:07:25,7,445,0,0,0,0,0
2071,ALBRTSNS_M,  Mon May 13 08:48:24 CDT 2019,  Mon May 13 08:54:04 CDT 2019,00:05:40,5,340,0,0,0,0,0
2072,ALBRTSNS_M,  Mon May 20 07:04:51 CDT 2019,  Mon May 20 07:11:46 CDT 2019,00:06:55,6,415,0,0,0,0,0
2073,ALBRTSNS_M,  Mon May 27 08:13:10 CDT 2019,  Mon May 27 08:17:29 CDT 2019,00:04:19,4,259,0,0,0,0,0
2074,ALBRTSNS_M,  Mon Jun  3 05:12:01 CDT 2019,  Mon Jun  3 05:18:49 CDT 2019,00:06:48,6,408,0,0,0,0,0
2075,ALBRTSNS_M,  Mon Jun 10 03:46:26 CDT 2019,  Mon Jun 10 03:53:03 CDT 2019,00:06:37,6,397,0,0,0,0,0
2076,ALBRTSNS_M,  Mon Jun 17 02:50:47 CDT 2019,  Mon Jun 17 02:57:41 CDT 2019,00:06:54,6,414,0,0,0,0,0
2077,ALBRTSNS_M,  Mon Jun 24 01:46:59 CDT 2019,  Mon Jun 24 01:52:08 CDT 2019,00:05:09,5,309,0,0,0,0,0
2078,ALBRTSNS_M,  Mon Jul  1 06:40:20 CDT 2019,  Mon Jul  1 06:44:38 CDT 2019,00:04:18,4,258,0,0,0,0,0
2079,ALBRTSNS_M,  Mon Jul  8 05:49:09 CDT 2019,  Mon Jul  8 05:58:17 CDT 2019,00:09:08,9,548,0,0,0,0,0
2080,ALBRTSNS_M,  Mon Jul 15 02:20:42 CDT 2019,  Mon Jul 15 02:29:20 CDT 2019,00:08:38,8,518,0,0,0,0,0
2081,ALBRTSNS_M,  Mon Jul 22 01:24:46 CDT 2019,  Mon Jul 22 01:37:13 CDT 2019,00:12:27,12,747,0,0,0,0,0
2082,ALBRTSNS_M,  Mon Jul 29 05:01:40 CDT 2019,  Mon Jul 29 05:09:23 CDT 2019,00:07:43,7,463,0,0,0,0,0
