WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2017,SKB, Tue May  1 19:07:48 CDT 2018, Tue May  1 19:23:13 CDT 2018,00:15:25,15,925,0,0,0,0,0
2097,SKB_BWS_M,  Mon Nov 11 02:03:39 CST 2019,  Mon Nov 11 02:06:23 CST 2019,00:02:44,2,164,64,2,2,6,74
2097,SKB_M,  Mon Nov 11 02:03:39 CST 2019,  Mon Nov 11 02:08:46 CST 2019,00:05:07,5,307,190,3,9,40,242
2097,SKB_PEPSI_M,  Mon Nov 11 02:04:09 CST 2019,  Mon Nov 11 02:06:01 CST 2019,00:01:52,1,112,32,1,1,3,37
2055,SMTHFLD_M,  Mon Jan 21 07:49:38 CST 2019,  Mon Jan 21 07:57:47 CST 2019,00:08:09,8,489,0,0,0,0,0
2056,SMTHFLD_M,  Mon Jan 28 03:03:11 CST 2019,  Mon Jan 28 03:12:41 CST 2019,00:09:30,9,570,0,0,0,0,0
2057,SMTHFLD_M,  Mon Feb  4 09:10:39 CST 2019,  Mon Feb  4 09:15:10 CST 2019,00:04:31,4,271,0,0,0,0,0
2058,SMTHFLD_M,  Mon Feb 11 07:28:32 CST 2019,  Mon Feb 11 07:31:48 CST 2019,00:03:16,3,196,0,0,0,0,0
2059,SMTHFLD_M,  Mon Feb 18 05:52:51 CST 2019,  Mon Feb 18 05:56:22 CST 2019,00:03:31,3,211,0,0,0,0,0
2060,SMTHFLD_M,  Mon Feb 25 08:55:38 CST 2019,  Mon Feb 25 09:00:27 CST 2019,00:04:49,4,289,0,0,0,0,0
2061,SMTHFLD_M,  Mon Mar  4 05:32:34 CST 2019,  Mon Mar  4 05:35:43 CST 2019,00:03:09,3,189,0,0,0,0,0
2062,SMTHFLD_M,  Mon Mar 11 10:53:30 CDT 2019,  Mon Mar 11 10:56:56 CDT 2019,00:03:26,3,206,0,0,0,0,0
2063,SMTHFLD_M,  Mon Mar 18 05:05:50 CDT 2019,  Mon Mar 18 05:09:30 CDT 2019,00:03:40,3,220,0,0,0,0,0
